,Price,City,Zipcode,State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,Days on Market,Property Type,Status
85,258025,2,11097,4,2,2,2930,9853,1993,8,2,2
86,1346411,4,48078,1,1,1,2849,8155,1952,104,1,2
87,765276,0,55038,4,5,2,2415,6387,1950,50,3,1
88,1478929,1,48984,3,1,2,3351,1858,1962,102,1,2
89,616741,0,92471,1,2,1,1258,2818,1966,73,0,1
90,1089190,4,93992,0,4,1,787,5227,1999,119,3,0
91,733862,2,94674,2,6,1,2342,5419,1984,46,0,0
92,367764,3,60724,3,3,1,2761,9262,1960,99,4,0
93,890978,2,80299,2,1,4,3887,3596,2000,119,2,0
94,139928,4,63039,0,1,3,2093,1094,1977,34,0,1
95,574704,1,88108,3,1,1,903,6122,2006,43,0,0
96,454473,0,64486,2,5,2,3693,9896,1951,87,0,0
97,548614,2,85891,2,3,1,3527,3201,2008,108,1,0
98,741710,2,61514,0,1,4,1224,3876,2001,27,4,2
99,1300809,4,84532,0,5,4,2543,7979,2001,108,2,0
100,347172,1,66497,0,5,1,3638,2063,2017,43,1,2
101,843750,0,46631,0,1,3,1069,3385,2010,43,0,0
102,833347,3,87642,4,4,4,2669,3606,1958,40,2,2
103,1440759,3,55033,4,5,3,1012,6279,1954,94,1,2
104,1100894,3,59136,3,6,4,1741,5632,1970,86,0,1
105,671356,4,80680,2,5,4,734,1972,2006,1,2,1
106,1194026,1,55266,2,4,2,3407,3199,2009,96,0,0
107,258887,1,85581,2,5,3,1232,3758,1976,57,1,1
108,204548,4,35785,3,3,4,2665,4095,2020,61,0,0
109,1167370,0,26151,2,5,1,823,4310,2021,88,4,0
110,1009558,2,86748,3,4,2,3944,7637,1983,27,4,2
111,1256611,2,23389,0,2,4,3037,9989,1956,25,4,2
112,439407,4,97204,2,2,4,2796,7855,1969,15,0,2
113,115004,4,28572,1,4,3,2671,8290,1967,11,1,0
114,204351,1,94493,3,4,3,1540,4699,1962,34,2,2
115,231952,4,99466,0,5,3,3428,3914,2015,43,1,2
116,1451974,2,79802,0,6,3,2284,4615,1964,55,2,1
117,970820,2,97567,0,5,3,1506,3116,2004,117,4,2
118,327979,4,93091,4,4,2,2154,9985,1971,71,3,1
119,1277005,0,69229,2,5,3,3518,5620,2002,12,4,1
120,1411376,3,94614,3,5,3,2666,5243,1995,16,1,0
121,603748,3,67157,2,3,1,3411,6632,1956,88,1,0
122,1388656,2,23470,3,5,3,1628,2454,2002,76,0,1
123,190705,0,98601,3,6,2,3167,9130,1957,120,4,2
124,878059,2,39637,3,1,3,3060,4666,1974,46,2,0
125,581015,3,76613,0,5,2,1800,8145,1987,49,3,0
126,1129910,4,48137,0,2,3,1809,2168,1988,26,1,0
127,1122084,3,80136,3,6,2,3061,8290,2000,78,4,2
128,903726,1,42568,1,3,1,2988,7286,2017,36,0,1
129,242071,1,32340,2,3,1,2897,9444,1997,90,3,1
130,208486,1,30265,0,4,2,3524,3925,1955,115,0,2
131,860219,4,88019,3,6,1,963,5769,2008,78,1,0
132,215904,3,63640,4,6,4,2701,9476,1995,47,2,2
133,1355937,2,72385,0,5,2,904,9151,1956,75,0,2
134,100866,0,47843,3,1,1,2107,6485,2012,10,0,2
135,1131957,4,63077,2,1,4,2573,6461,2022,22,0,1
136,441645,3,32946,0,2,1,3733,1332,1960,114,1,2
137,1296346,1,24352,1,5,1,3232,2119,2019,43,2,0
138,162697,2,32785,2,6,3,1624,1726,1972,18,4,0
139,233832,1,39301,2,3,4,2722,8216,1998,14,1,1
140,946472,0,28333,0,2,3,1009,8969,2022,58,1,2
141,339864,0,63885,1,3,1,3584,1287,1968,109,4,2
142,996664,3,79681,0,5,3,939,9095,1982,66,3,0
143,891575,2,96050,1,2,4,1845,3851,1998,91,2,2
144,725711,4,11339,0,6,1,803,6903,2010,27,0,0
145,644055,0,36556,3,1,3,2972,5735,1955,81,4,2
146,493145,0,95106,4,5,2,2880,2593,1981,82,1,2
147,204309,4,54311,3,4,3,3377,6022,2010,38,1,1
148,517031,4,16056,2,3,1,2633,4383,1972,49,3,2
149,1204990,4,10943,0,3,1,2785,6544,2009,47,0,2
150,1001011,3,69693,2,6,1,1905,4957,1975,12,0,2
151,1021673,4,78745,1,4,2,3019,8469,1969,57,1,2
152,1289770,1,83301,2,3,2,3728,4055,1980,50,1,0
153,1107344,3,82941,0,6,2,1448,8937,1990,87,2,1
154,369317,4,71481,2,5,4,2607,3593,2010,91,4,2
155,895834,2,40991,3,1,2,1418,9398,1975,47,2,1
156,1229258,0,41174,3,2,1,2690,3636,1955,56,1,2
157,598034,0,33935,0,4,3,2174,3623,1970,65,4,0
158,1425415,3,46625,0,3,4,3225,7924,1972,22,4,2
159,998214,2,61130,3,3,2,1102,7579,2010,6,0,0
160,978002,0,15623,0,3,3,2310,2680,1968,108,0,2
161,417290,0,33202,1,3,3,2374,9265,1950,46,4,2
162,1400298,1,67845,1,6,2,2943,4739,1975,3,2,0
163,633891,4,21343,3,4,4,3481,8346,1967,14,4,2
164,365175,4,20858,0,1,2,3651,7482,1954,18,2,0
165,1137506,2,98816,0,2,1,1385,3062,2009,42,3,0
166,506158,0,97228,0,5,4,2306,1972,1985,8,2,2
167,518222,0,84200,3,4,2,1462,2320,2000,114,3,1
168,321323,4,15409,2,6,1,1053,7863,2012,30,1,2
169,130843,1,93947,2,3,2,1430,5008,2008,54,3,0
170,466691,4,98708,0,1,2,1741,2238,2014,18,1,0
171,430345,4,34458,0,2,1,3871,8875,1990,44,0,2
172,179767,2,97922,3,3,2,2531,9649,1987,47,3,1
173,1321540,0,56386,1,1,4,1697,3282,1964,108,3,0
174,814097,4,58752,1,4,3,1874,3262,2006,74,1,1
175,305871,3,18497,3,2,1,1084,6213,1982,20,2,2
176,511660,1,78755,1,6,4,1268,6416,1988,45,0,0
177,100366,1,84616,2,5,3,1383,1172,1966,102,1,1
178,482895,4,25648,2,2,3,1942,6402,1967,103,3,1
179,1205338,2,90006,1,6,4,3763,5643,1990,68,4,0
180,991560,0,17782,0,3,1,3594,8781,2004,32,1,0
181,1399592,4,86772,1,3,3,2107,3647,1974,41,3,0
182,257927,3,29937,3,6,2,3845,2577,2019,108,0,0
183,632033,1,19052,2,4,2,2424,9094,1964,97,1,0
184,328592,1,15311,4,5,2,782,7738,1981,60,1,0
185,1491526,0,52313,3,1,1,1372,7782,2001,82,0,0
186,241995,1,38983,1,4,4,2842,4737,1987,24,3,0
187,183679,4,95768,1,5,1,3566,2593,1968,32,4,0
188,803730,3,30565,2,2,3,2648,4097,1962,83,4,2
189,707137,3,50470,2,6,4,1102,1279,1954,48,0,2
190,121284,0,52256,1,6,3,3267,8097,1998,116,3,2
191,430954,1,18835,1,6,4,764,3879,1975,3,3,1
192,890970,2,55131,2,2,2,3929,6154,1991,108,4,2
193,459948,1,80688,2,5,1,1287,5152,2000,114,4,2
194,1060149,2,22392,1,5,3,1000,4951,1982,40,4,0
195,556583,4,27352,4,1,2,2585,3762,1982,44,1,1
196,200783,3,61136,2,4,1,2784,1944,1983,102,0,1
197,243533,3,75218,3,4,3,2702,3639,1969,79,1,2
198,408518,0,87522,1,1,3,1152,4219,2012,49,3,2
199,1371610,0,22296,3,4,2,2668,5454,1968,89,1,0
200,1436618,0,63407,4,4,2,1979,2167,1956,53,2,1
201,1359152,0,93308,4,2,2,3125,2175,2001,25,4,1
202,589245,0,57020,0,1,1,794,1177,1987,39,4,0
203,1427494,1,14674,3,4,4,2514,7593,1994,100,4,2
204,1230642,4,82340,1,5,4,2342,6874,2021,61,1,0
205,1304385,1,66352,3,4,3,878,4083,2004,41,1,0
206,747218,3,58001,0,3,4,2623,1356,2020,44,1,0
207,414153,3,64992,1,1,4,1065,3682,1956,113,1,2
208,1471246,4,71698,1,4,4,3930,3160,1992,71,2,0
209,233461,3,35380,4,2,4,2715,2504,1987,41,1,2
210,415590,2,61851,1,2,4,820,8355,1958,43,0,0
211,628913,4,65026,0,1,2,3131,6904,1980,9,1,2
212,1161136,0,61835,4,5,4,1576,3947,1983,4,4,1
213,1187629,1,22864,1,4,4,1977,7601,1981,73,1,2
214,1411862,0,46679,3,3,2,650,2491,1976,56,1,1
215,631172,4,65583,2,6,3,3655,8072,1983,18,0,1
216,1453453,4,45138,1,6,1,1300,3142,2004,29,0,0
217,157884,1,94630,4,3,4,1577,6868,1965,39,2,2
218,1193460,0,82157,2,6,2,1775,3631,1952,93,2,0
219,566443,1,77646,3,2,2,665,2481,1988,53,1,1
220,540820,2,38759,4,5,3,3824,1336,1973,29,3,2
221,148463,4,99056,4,3,2,3549,4940,1962,16,0,1
222,922164,1,92930,2,4,3,2329,2940,2019,69,0,0
223,925438,2,45299,0,2,3,2307,7339,2019,37,0,2
224,421606,2,20074,3,6,1,2345,7348,2009,22,0,0
225,913878,2,29610,1,2,1,3288,1472,1984,38,2,2
226,1258728,4,92847,2,3,4,2128,1335,1992,100,3,1
227,672952,3,48097,3,3,4,1166,6068,2002,34,3,2
228,1254323,1,13752,0,4,3,1051,6205,2019,72,2,1
229,157609,1,89342,0,3,2,1100,8618,2019,11,2,2
230,1319677,1,18778,4,6,3,1310,6670,1967,120,4,0
231,144964,2,81788,2,5,3,1141,8933,1994,62,0,2
232,1246074,4,59809,2,4,3,1907,6531,2007,52,3,0
233,339783,2,41014,1,1,4,3346,6926,1953,100,3,1
234,1069438,1,16823,2,1,3,1684,6802,1992,82,2,1
235,391685,1,99592,3,5,2,1816,7277,1983,36,1,0
236,1273944,1,54352,0,3,3,2465,8960,1993,31,0,0
237,832115,2,51205,4,3,1,3103,7144,2016,75,3,1
238,738248,1,58293,0,1,3,1081,6201,1960,98,1,0
239,190155,1,83221,3,6,3,1668,9748,1970,68,3,0
240,603539,1,25359,3,2,3,1086,3929,1976,50,2,2
241,578510,3,74968,4,5,3,2581,2355,1954,20,3,2
242,1103122,2,65871,0,2,2,2931,2144,1970,98,2,2
243,615962,1,37127,0,2,3,3176,7268,1953,40,2,1
244,1012565,0,15796,1,6,4,965,1073,1970,95,2,0
245,1246322,1,37523,1,6,4,912,1399,1961,41,4,0
246,128445,4,21028,4,1,1,2206,5397,1982,111,0,1
247,1399813,1,59912,1,1,2,726,3438,1957,38,2,1
248,246724,2,14174,2,3,2,3255,5242,1970,95,3,0
249,1445108,0,39662,3,2,4,2395,9573,2000,31,4,1
250,489643,3,14187,2,6,1,3166,8056,1960,25,0,0
251,183352,3,81397,0,6,2,2241,1726,1961,70,2,1
252,490661,4,33183,2,4,4,2584,2927,1962,34,3,0
253,730647,4,89531,2,5,1,2075,4257,2013,55,0,0
254,1123836,4,76365,3,1,2,919,6556,1989,78,4,0
255,800312,3,83246,3,2,2,2014,2859,1960,111,2,1
256,247619,0,95150,1,4,1,1697,2200,1997,119,0,0
257,879038,1,96325,1,2,1,1801,1484,1998,1,4,1
258,735604,0,57102,3,2,3,3951,3078,1983,9,3,0
259,1315315,4,29040,1,1,1,1895,4224,2002,39,2,1
260,703493,1,20699,3,6,3,2228,5244,1964,91,0,0
261,1449651,1,29271,4,5,3,2332,4235,1953,113,2,0
262,429050,3,89790,0,1,2,2089,5162,2015,66,0,1
263,436227,1,30987,4,5,2,881,1670,1974,46,4,0
264,1043402,4,19426,3,6,3,2741,6549,1968,47,3,2
265,1472476,4,77074,1,2,2,2997,4716,1957,111,3,2
266,101342,2,26064,3,3,1,1658,9733,2021,34,0,1
267,1144956,0,57975,0,6,1,1783,6138,1966,78,0,2
268,257758,3,26675,4,3,1,2700,9067,1989,44,1,2
269,159682,2,63062,0,3,1,3421,2996,1992,39,2,2
270,1368906,3,73100,4,2,2,692,2137,2003,57,4,1
271,226311,0,27026,0,6,2,2021,8163,1951,88,2,0
272,242280,3,94923,3,2,3,3560,5320,1972,71,2,0
273,1371316,2,17784,4,1,4,1173,7073,2012,98,3,1
274,987853,4,33938,1,6,2,1380,3778,1964,85,4,2
275,461357,3,45025,3,1,3,3427,6943,1980,59,0,2
276,349197,2,76986,3,6,1,3026,7118,2020,67,4,2
277,294826,0,87737,3,1,4,1690,9112,1963,40,2,0
278,1271947,3,83265,1,6,1,2786,1793,1955,25,4,1
279,830918,1,68268,3,3,3,1392,3648,1997,68,4,2
280,671864,1,82504,3,1,2,3679,2956,1984,5,0,1
281,302419,0,85098,0,4,4,1265,9461,1989,25,3,1
282,388660,0,65725,4,3,1,1983,4741,2017,93,4,0
283,1338663,3,69169,0,6,2,1334,1444,1967,45,4,0
284,1433049,0,66545,0,4,2,1496,6335,1961,55,2,1
285,646444,4,61212,0,2,2,1647,6325,2004,73,2,0
286,1413534,4,33992,0,6,2,2609,6952,1967,38,1,2
287,878844,2,89948,3,2,3,2480,4589,1980,51,0,1
288,190823,1,39510,3,3,3,3946,1509,2003,48,0,2
289,248712,1,43515,4,4,1,903,6778,1995,16,4,0
290,274794,3,18058,0,1,1,1360,6947,1953,36,3,2
291,249833,3,77353,0,5,2,975,3978,1977,43,0,0
292,1025908,2,42636,3,6,2,3658,7281,1985,43,2,1
293,274061,4,68531,4,1,3,899,8551,1978,34,1,1
294,1092223,4,81859,3,1,4,705,6698,2012,99,2,0
295,1249985,2,72975,1,3,2,1298,9755,1997,44,1,2
296,1052096,0,31017,2,4,4,2604,1813,2019,51,2,1
297,825149,2,79684,3,6,3,1482,1355,1952,63,4,0
298,1411144,3,72177,2,3,1,838,7283,1963,103,1,0
299,860572,2,81038,3,2,3,3059,4115,1974,12,3,2
300,727584,1,68343,2,5,1,620,3573,2008,23,4,2
301,795435,0,99215,2,6,1,620,6199,1991,62,4,1
302,849860,3,68426,2,3,1,3777,3451,2008,63,1,2
303,798115,2,93892,4,1,3,644,6797,1979,17,4,1
304,773067,4,19908,2,4,3,2789,7794,2001,48,2,2
305,260417,4,54146,0,3,1,3003,3326,2015,95,1,1
306,1047769,3,11489,0,4,2,3207,3074,1965,118,3,0
307,563528,0,16892,4,2,4,1319,2031,2007,72,4,2
308,493415,4,51963,3,3,3,3905,6897,1994,40,3,2
309,1367995,0,60346,1,1,1,3929,8333,1981,64,2,0
310,1085094,4,94121,4,5,3,2199,3138,2017,62,1,1
311,892569,3,24264,4,1,4,2258,4950,1963,82,3,0
312,1238734,3,89635,1,2,4,2594,3799,1960,46,3,1
313,1386947,2,50757,0,4,4,745,6797,1969,24,1,2
314,236746,2,17681,0,6,4,656,3070,1985,21,2,2
315,486791,0,55624,1,1,1,2840,8535,2023,118,1,1
316,482165,3,69573,0,5,4,2110,5859,1980,109,3,1
317,1187392,0,40666,3,2,2,949,1361,2004,76,3,1
318,950150,1,54871,4,5,3,3116,6462,1997,98,0,2
319,465036,4,17869,4,2,3,1727,5285,1986,119,1,1
320,746966,0,33519,4,4,2,1714,9446,2022,102,1,2
321,368960,1,97233,3,3,1,1447,3020,2009,30,3,2
322,1182854,4,29647,0,2,1,887,3584,1970,17,3,1
323,516722,3,38001,3,1,4,3242,9096,1955,40,3,2
324,410680,2,87840,0,1,1,1597,3907,2021,111,1,2
325,579380,3,58273,4,1,2,3165,7690,1995,2,2,1
326,1474045,1,15134,1,2,4,3031,7696,1982,89,3,2
327,1441227,3,11522,0,1,1,1445,8418,1971,15,3,1
328,1110787,3,58457,1,1,1,3736,4361,2017,27,4,1
329,894755,2,57822,4,5,1,3242,4500,2021,3,4,0
330,1340985,1,18590,1,4,3,1618,9277,1970,42,3,0
331,1118325,1,32540,4,5,3,2004,5824,1995,42,3,1
332,1148708,2,95061,3,1,2,2255,8405,2006,80,2,2
333,286476,1,56870,2,2,1,3663,8176,2017,47,1,1
334,948322,1,70276,4,2,1,769,7909,1974,110,3,0
335,973256,0,42380,1,1,4,1393,7622,1982,89,1,0
336,1154506,2,40884,4,3,2,2342,2659,2009,74,0,2
337,323674,3,97622,3,3,3,3826,2310,2016,50,1,0
338,512841,4,45725,3,6,1,2735,9513,2012,76,1,1
339,1280680,3,18928,0,1,4,1800,2769,1969,117,3,2
340,888840,4,19441,1,5,2,796,3561,2000,85,0,2
341,930535,3,93570,2,6,1,2476,7792,1962,116,4,2
342,571179,1,69765,0,3,3,3745,8006,1959,96,4,0
343,1026442,2,78801,4,2,2,2333,3991,1999,74,3,0
344,572510,4,51007,3,5,4,3199,1413,2006,77,0,2
345,1472070,3,10238,0,2,4,1548,3141,1984,71,1,0
346,772817,1,60485,2,1,2,2603,4509,1960,45,3,1
347,1387582,3,76921,3,2,1,602,6137,1994,51,4,2
348,1046192,2,20830,3,2,4,1636,3931,2005,97,4,1
349,1300827,2,75928,1,1,3,2500,4567,1950,94,0,1
350,1363548,0,33153,1,5,3,1918,5955,2023,24,2,2
351,388769,4,15945,2,5,2,993,6247,2011,8,0,2
352,1261138,1,23082,3,1,4,1999,1148,2006,87,3,0
353,1101329,2,42548,0,2,1,1269,4597,2006,41,2,0
354,1265663,3,44650,0,6,4,1944,1360,1951,51,2,2
355,750711,1,33826,3,2,4,714,9529,1959,98,1,2
356,565021,2,14887,1,2,1,1862,7714,2010,65,1,0
357,849581,1,39118,2,2,1,2560,6991,1963,50,1,2
358,1242207,1,22656,0,5,2,2623,2847,1954,120,0,0
359,201977,2,93371,1,4,4,3967,1610,1989,38,0,1
360,370684,2,95473,3,2,2,3601,4874,2022,116,1,2
361,658392,0,98045,3,3,3,3652,2429,2012,107,0,0
362,588503,2,11489,2,2,2,1164,7843,1985,14,1,0
363,974380,2,27970,2,3,3,2311,1758,2002,43,0,2
364,917965,3,97217,3,3,1,2683,7074,1983,59,4,2
365,1148502,2,89624,1,2,1,1439,4876,1964,119,0,1
366,788528,4,37518,0,6,3,3041,4101,1998,57,3,2
367,818315,4,22482,0,6,1,2055,1305,2005,83,1,0
368,1092879,1,96529,3,1,4,2506,9567,1973,104,1,1
369,1320556,1,19798,4,6,1,1743,3182,2008,82,1,0
370,516119,4,74420,3,2,2,2902,1395,2013,58,4,2
371,480363,1,40585,2,3,3,953,6404,2000,40,1,0
372,496535,4,66688,2,3,3,3590,2197,2013,30,2,0
373,1251066,3,82734,4,2,4,3990,3339,2020,14,0,1
374,1399032,0,19237,2,4,3,1641,4515,2020,52,0,0
375,1121373,2,94325,0,2,1,922,8638,2002,115,3,0
376,738847,0,36357,0,4,4,2318,8727,1977,26,0,2
377,374385,2,50594,0,1,3,1237,2493,1995,17,3,0
378,943403,0,31004,3,2,3,2514,8687,2000,118,0,0
379,788640,1,87661,2,6,3,2895,6814,1975,111,0,2
380,848296,2,34902,0,4,2,2050,2341,2004,104,4,2
381,864975,2,80939,0,5,4,1548,2494,2010,63,1,0
382,914722,1,76331,0,5,4,2707,9964,1953,85,3,1
383,571756,3,85196,2,2,2,3053,3780,1989,40,2,1
384,580818,0,22458,2,1,3,2164,9409,1956,44,1,2
385,1239119,3,55545,0,4,4,758,1634,1997,43,0,2
386,204505,1,35979,4,6,4,2770,5520,1966,27,0,0
387,644764,0,91504,4,3,3,2213,4506,1964,32,1,1
388,992364,2,39898,4,3,3,815,7485,1988,93,4,1
389,1140029,0,57838,3,2,3,1487,9438,2023,5,4,1
390,605861,1,55207,0,5,4,1534,6020,1971,63,1,1
391,1472458,0,76431,2,4,1,2135,7168,1981,119,4,2
392,427572,4,47035,4,3,1,3940,9098,1986,9,4,0
393,1161421,2,80455,0,2,3,3313,9610,2005,49,1,2
394,314414,1,66368,1,5,2,2128,3292,1994,79,4,1
395,1265777,4,36428,3,1,4,1659,9996,1988,25,2,0
396,789955,3,40382,3,5,3,2036,8558,2022,114,2,2
397,480974,0,51917,3,2,4,2901,4820,1973,53,4,0
398,686842,0,94337,0,1,4,1977,3530,2002,9,0,0
399,944010,0,98894,4,6,3,1657,5619,1979,5,1,0
400,1325154,4,74845,0,6,2,1086,5861,1981,99,1,1
401,1136243,4,77717,3,3,4,2010,2931,1959,15,2,0
402,624612,4,45435,0,3,3,2367,6792,1995,13,4,0
403,409090,0,40049,3,4,2,2997,9647,2000,71,2,1
404,1410781,4,21095,3,4,4,2662,3141,1968,19,2,2
405,900400,1,37962,3,4,2,689,1215,2015,110,2,1
406,770905,1,24534,2,2,4,2898,6768,2017,82,0,1
407,1283223,0,44519,2,1,2,724,2456,1961,106,2,2
408,499747,3,54416,3,2,1,1978,4716,2015,48,4,2
409,712555,2,76996,2,1,3,1268,9258,1984,68,1,1
410,619571,2,86858,0,2,4,3527,3709,1976,77,0,0
411,1409033,0,60679,0,3,2,1952,6085,1964,15,2,2
412,389699,1,79617,3,6,3,1769,8386,1991,115,4,2
413,1045885,2,63418,0,3,3,3923,7449,1978,95,1,1
414,1377069,0,87610,2,4,4,3859,7651,1979,107,4,1
415,1112286,3,16283,0,1,4,3232,6832,2000,48,4,0
416,1477628,1,79047,0,1,1,2062,4344,1956,69,3,2
417,353344,2,75930,1,5,1,1447,1695,1991,72,3,1
418,299777,4,36162,2,2,3,2909,5883,1985,103,0,0
419,1200545,3,99323,0,6,2,609,6010,1976,107,3,0
420,453846,4,82910,0,4,1,3562,1356,1998,106,2,1
421,1309279,3,65593,1,5,2,2744,9418,1962,54,3,1
422,294270,2,18285,1,6,1,3177,2119,1966,92,4,2
423,227369,4,67839,3,3,2,1445,9511,1955,50,1,2
424,1079451,4,59594,4,1,2,2935,8912,1971,64,1,1
425,811641,2,23393,0,6,3,3136,6378,1959,105,0,1
426,1206970,2,76728,2,4,2,3322,4428,2011,26,2,0
427,359738,4,20376,4,3,1,874,5835,1975,49,4,2
428,667232,0,59040,0,6,3,3922,1257,2012,48,4,2
429,1496467,1,21826,3,2,4,1160,5936,1987,27,0,0
430,1243614,2,52402,0,6,3,2438,9159,1980,10,1,0
431,1350028,0,75286,0,6,4,2276,3297,2003,75,3,0
432,142558,0,83599,3,5,2,3454,1432,1997,35,4,2
433,842454,3,15718,3,6,1,2295,1487,1995,60,0,1
434,960407,0,35524,1,4,2,2467,2779,1995,120,4,1
435,510123,2,85118,1,2,3,2033,3029,1987,53,2,1
436,1336927,2,45772,3,6,2,1534,8903,2011,84,4,0
437,1377802,4,75282,0,4,4,1883,6966,1986,10,4,1
438,287677,3,31572,2,6,1,3361,8603,1992,27,3,2
439,1409098,1,26523,2,6,4,3041,9468,2000,90,1,2
440,1236695,2,84551,2,4,4,2879,8525,1999,30,0,2
441,850519,2,51763,2,6,1,2431,1752,2001,15,2,0
442,406535,0,33457,2,1,2,886,2168,1965,33,1,1
443,393811,2,36438,4,6,3,1252,3959,2008,100,3,0
